ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,Description,State,Tags
,Product Backlog Item,,,Heart Health Predictor - Calculate Result by proving data sets,,"<div><div style=""box-sizing:border-box;"">User should be able to provide the details on the health predictor form and click on calculate to get the result , so that user can view his heart condition and get cured if result says &quot;you may need to see a doctor and get your health checkup done&quot;.<br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><b>Data Rules:&nbsp;</b></div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><table width=597 style=""box-sizing:border-box;border-collapse:collapse;border-spacing:0px;margin:0px;width:448pt;""><colgroup style=""box-sizing:border-box;""><col width=64 style=""box-sizing:border-box;width:48pt;""><col width=161 style=""box-sizing:border-box;width:121pt;""><col width=124 style=""box-sizing:border-box;width:93pt;""><col width=248 style=""box-sizing:border-box;width:186pt;""></colgroup><tbody style=""box-sizing:border-box;""><tr height=20 style=""box-sizing:border-box;""><td height=20 width=64 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;width:48pt;font-size:11pt;color:white;font-weight:700;border:0.5pt solid windowtext;background:rgb(68, 114, 196);"">sl. No.</td><td width=161 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;width:121pt;font-size:11pt;color:white;font-weight:700;border:0.5pt solid windowtext;background:rgb(68, 114, 196);"">FieldName</td><td width=124 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;width:93pt;font-size:11pt;color:white;font-weight:700;border:0.5pt solid windowtext;background:rgb(68, 114, 196);"">Data Type</td><td width=248 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;width:186pt;font-size:11pt;color:white;font-weight:700;border:0.5pt solid windowtext;background:rgb(68, 114, 196);"">Expecetd Values</td></tr><tr height=20 style=""box-sizing:border-box;""><td height=20 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">1</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Age</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Integer</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">In Years</td></tr><tr height=20 style=""box-sizing:border-box;""><td height=20 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;"">2</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Sex</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Radio Button</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Female /Male/Others</td></tr><tr height=80 style=""box-sizing:border-box;""><td height=80 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">3</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Chest pain type</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">1, 2, 3, 4<span style=""box-sizing:border-box;"">&nbsp;</span></td><td width=248 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;width:186pt;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">--Value 1: typical angina<br style=""box-sizing:border-box;"">-- Value 2: atypical angina<br style=""box-sizing:border-box;"">-- Value 3: non-anginal pain<br style=""box-sizing:border-box;"">-- Value 4: asymptomatic</td></tr><tr height=20 style=""box-sizing:border-box;""><td height=20 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;"">4</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Resting blood pressure</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Integer</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">in mm Hg on admission to the hospital</td></tr><tr height=20 style=""box-sizing:border-box;""><td height=20 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">5</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Serum cholesterol</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Integer</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">serum cholestoral in mg/dl</td></tr><tr height=20 style=""box-sizing:border-box;""><td height=20 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;"">6</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Fasting blood sugar</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;""><span style=""box-sizing:border-box;text-align:start;"">yes/no</span></td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">fasting blood sugar &gt; 120 mg/dl</td></tr><tr height=160 style=""box-sizing:border-box;""><td height=160 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">7</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Resting ECG</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">0,1,2</td><td width=248 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;width:186pt;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">resting electrocardiographic results<br style=""box-sizing:border-box;"">-- Value 0: normal<br style=""box-sizing:border-box;"">-- Value 1: having ST-T wave abnormality (T wave inversions and/or ST elevation or depression of &gt; 0.05 mV)<br style=""box-sizing:border-box;"">-- Value 2: showing probable or definite left ventricular hypertrophy by Estes' criteria</td></tr><tr height=20 style=""box-sizing:border-box;""><td height=20 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;"">8</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Max heart rate</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Integer</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">maximum heart rate achieved</td></tr><tr height=20 style=""box-sizing:border-box;""><td height=20 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">9</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Exercise induced angina</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Radio Button</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Yes/no</td></tr><tr height=20 style=""box-sizing:border-box;""><td height=20 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;"">10</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Depression induced by exercise</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Decimal<span style=""box-sizing:border-box;"">&nbsp;</span></td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;""><span style=""box-sizing:border-box;text-align:start;"">ST depression induced by exercise relative to rest</span></td></tr><tr height=80 style=""box-sizing:border-box;""><td height=80 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">11</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Slope of peak exercise</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">1,2,3</td><td width=248 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;width:186pt;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);""><span style=""box-sizing:border-box;"">&nbsp;</span>the slope of the peak exercise ST segment<br style=""box-sizing:border-box;"">-- Value 1: upsloping<br style=""box-sizing:border-box;"">-- Value 2: flat<br style=""box-sizing:border-box;"">-- Value 3: downsloping</td></tr><tr height=20 style=""box-sizing:border-box;""><td height=20 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;"">12</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">Number of major vessels</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">0,1,2,3</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;"">number of major vessels (0-3) colored by flourosopy</td></tr><tr height=60 style=""box-sizing:border-box;""><td height=60 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;text-align:center;vertical-align:middle;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">13</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">Target</td><td style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);"">0,1</td><td width=248 style=""box-sizing:border-box;padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-family:Calibri, sans-serif;vertical-align:bottom;text-align:left;width:186pt;font-size:11pt;border:0.5pt solid windowtext;background:rgb(217, 225, 242);""><br style=""box-sizing:border-box;"">--value 1: have heart disease<br style=""box-sizing:border-box;"">-- value 0: does not have heart disease</td></tr></tbody></table></div><br><br></div>",New,NR; STORY
,Feature,,Predictor Result,,,,New,
,Product Backlog Item,,,Predictor Result - Display Predictor's Findings To alert User,,,New,NR; STORY
,Product Backlog Item,,,Predictor Result - Display a Normal Health Condition Message,,,New,NR; STORY
,Epic,Non Functional Requirements,,,,,New,
,Epic,Performance,,,,,New,
,Feature,,Response Time,,,,New,
,Product Backlog Item,,,Response Time - Response Turn Around Time w.r.t. Load,,"<div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">What?</b></div><div style=""box-sizing:border-box;"">The turn around time for a response on any request from the application will be measured and&nbsp;</div><div style=""box-sizing:border-box;"">will fall under the benchmark set for TAT w.r.t. Load.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Why?</b></div><div style=""box-sizing:border-box;"">In order to set benchmark, measure, log inconsistencies and fixes for the TAT w.r.t. load on the application.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Where?</b></div><div style=""box-sizing:border-box;"">Whole Application.</div><div style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">When?</b></div><div style=""box-sizing:border-box;"">HeartiHealth\Sprint 1 - UAT</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Who?</b></div><div style=""box-sizing:border-box;"">Automated Load of Users.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">How?</b></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">An automated load of users in the ratio 1:10:100 (Concurrent:Active:Total) will be using the application, covering following areas:</div><div style=""box-sizing:border-box;""><ol><li><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Login</div></span></li><li><div style=""box-sizing:border-box;"">Registration</div></li><li><div style=""box-sizing:border-box;"">Dashboard</div></li><li><div style=""box-sizing:border-box;"">Predictor</div></li><li><div style=""box-sizing:border-box;"">Predictor Results</div></li></ol><div>Current Concurrent Users as an Automated Load on Application: <b>500</b></div><div><br></div><div>Benchmark TAT for Response : <b>2-3 Secs</b></div><div><br></div><div><br></div></div></span></div>",New,STORY
,Epic,Compatibility,,,,,New,
,Feature,,Browser Compatibility,,,,New,
,Product Backlog Item,,,Browser Compatibility - Google Chrome,,"<div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">What?</b></div><div style=""box-sizing:border-box;"">All the modules in the application will be Google Chrome browser compatible.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Why?</b></div><div style=""box-sizing:border-box;"">Being a web-application, the product should work flawlessly, with features having compatible and expected functionalities<span style=""display:inline !important;""><span>&nbsp;</span>in the browser</span>.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Where?</b></div><div style=""box-sizing:border-box;"">Entire Application</div><div style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">When?</b></div><div style=""box-sizing:border-box;"">HeartiHealth\Sprint 1 - UAT</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Who?</b></div><div style=""box-sizing:border-box;"">All application users.</div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></b></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">How?</b></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">A feature wise browser compatible testing will be done for each user role and the functionalities for each feature will be checked.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;"">All the modules and features will be listed and expected benchmark and actual benchmark success rate will be defined for each feature/sub-feature.</div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;""><br></div><div style=""box-sizing:border-box;""><br></div></span></div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;""></b></div><br><br>",New,STORY
